#---
#---EXFOR Standard Output---
#=============================================================================
#DATASET        O0851002 
#NOW            2022/03/23:15:09:21
#SUBENT         O0851002   20030501
#ENTRY          O0851      20030501
#AUTHOR1        M.Chiari+
#YEAR           2001
#X4REF1         J,NIM/B,174,259,2001
#REFERENCE1     Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.174, p.259 (2001)
#REACTION       13-AL-27(P,EL)13-AL-27,,DA
#D4REAC         R0#
#C4Reaction     (P,EL),DA
#ReactionType   DA
#Quantity       Differential c/s with respect to angle
#IndVarFamCode  [0 2 4      ]
#ExpectedUnits  [B/SR]
#xVariables     2
#+              Y = Y(X1,X2)
#COLUMNS        9
#HEADER         7           9           12
!DATA        ERR-T       ERR-S       ERR-1       ERR-2       ERR-3       EN          EN-ERR      ANG         
!B/SR        PER-CENT    PER-CENT    PER-CENT    PER-CENT    PER-CENT    MEV         KEV         ADEG        
!Y.Value     Y.Err+-     Y.sErr+-    Y.pErr+-    Y.pErr+-    Y.pErr+-    X1.Value    X1.Err+-    X2.Value    
!0.1         0.911       0.944       0.955       0.955       0.955       1.1         1.911       2.1         
!variable    const       const       const       const       const       variable    const       variable    
!1.0         1.0         1.0         1.0         1.0         1.0         1000000.0   1000.0      1.0         
!B/SR        PER-CENT    PER-CENT    PER-CENT    PER-CENT    PER-CENT    EV          EV          ADEG        
#DATA           2512        9           12
 1.064       2.5         1.          1.          0.5         0.5         0.783       3.          100.        
 0.911       2.5         1.          1.          0.5         0.5         0.783       3.          105.        
 0.822       2.5         1.          1.          0.5         0.5         0.783       3.          110.        
 0.705       2.5         1.          1.          0.5         0.5         0.783       3.          115.        
 0.645       2.5         1.          1.          0.5         0.5         0.783       3.          120.        
 0.595       2.5         1.          1.          0.5         0.5         0.783       3.          125.        
 0.538       2.5         1.          1.          0.5         0.5         0.783       3.          130.        
 0.504       2.5         1.          1.          0.5         0.5         0.783       3.          135.        
 0.47        2.5         1.          1.          0.5         0.5         0.783       3.          140.        
 0.444       2.5         1.          1.          0.5         0.5         0.783       3.          145.        
 0.41        2.5         1.          1.          0.5         0.5         0.783       3.          150.        
 0.402       2.5         1.          1.          0.5         0.5         0.783       3.          155.        
 0.385       2.5         1.          1.          0.5         0.5         0.783       3.          160.        
 0.371       2.5         1.          1.          0.5         0.5         0.783       3.          165.        
 0.374       2.5         1.          1.          0.5         0.5         0.783       3.          170.        
 0.989       2.5         1.          1.          0.5         0.5         0.808       3.          100.        
 0.85        2.5         1.          1.          0.5         0.5         0.808       3.          105.        
 0.756       2.5         1.          1.          0.5         0.5         0.808       3.          110.        
 0.672       2.5         1.          1.          0.5         0.5         0.808       3.          115.        
 0.604       2.5         1.          1.          0.5         0.5         0.808       3.          120.        
 0.542       2.5         1.          1.          0.5         0.5         0.808       3.          125.        
 0.515       2.5         1.          1.          0.5         0.5         0.808       3.          130.        
 0.469       2.5         1.          1.          0.5         0.5         0.808       3.          135.        
 0.432       2.5         1.          1.          0.5         0.5         0.808       3.          140.        
 0.412       2.5         1.          1.          0.5         0.5         0.808       3.          145.        
 0.39        2.5         1.          1.          0.5         0.5         0.808       3.          150.        
 0.376       2.5         1.          1.          0.5         0.5         0.808       3.          155.        
 0.36        2.5         1.          1.          0.5         0.5         0.808       3.          160.        
 0.353       2.5         1.          1.          0.5         0.5         0.808       3.          165.        
 0.35        2.5         1.          1.          0.5         0.5         0.808       3.          170.        
 0.943       2.5         1.          1.          0.5         0.5         0.831       3.          100.        
 0.804       2.5         1.          1.          0.5         0.5         0.831       3.          105.        
 0.722       2.5         1.          1.          0.5         0.5         0.831       3.          110.        
 0.626       2.5         1.          1.          0.5         0.5         0.831       3.          115.        
 0.576       2.5         1.          1.          0.5         0.5         0.831       3.          120.        
 0.53        2.5         1.          1.          0.5         0.5         0.831       3.          125.        
 0.475       2.5         1.          1.          0.5         0.5         0.831       3.          130.        
 0.449       2.5         1.          1.          0.5         0.5         0.831       3.          135.        
 0.42        2.5         1.          1.          0.5         0.5         0.831       3.          140.        
 0.386       2.5         1.          1.          0.5         0.5         0.831       3.          145.        
 0.371       2.5         1.          1.          0.5         0.5         0.831       3.          150.        
 0.359       2.5         1.          1.          0.5         0.5         0.831       3.          155.        
 0.337       2.5         1.          1.          0.5         0.5         0.831       3.          160.        
 0.336       2.5         1.          1.          0.5         0.5         0.831       3.          165.        
 0.328       2.5         1.          1.          0.5         0.5         0.831       3.          170.        
 0.877       2.5         1.          1.          0.5         0.5         0.856       3.          100.        
 0.757       2.5         1.          1.          0.5         0.5         0.856       3.          105.        
