Theta	E
60.000000	1884.557250
60.000000	1788.605250
60.500000	1884.557250
60.500000	1787.605750
61.000000	1882.558250
61.000000	1789.604750
61.500000	1882.558250
62.000000	1881.558750
62.000000	1790.604250
62.500000	1883.557750
62.500000	1780.609250
62.500000	1788.605250
63.000000	1881.558750
63.500000	1878.560250
63.500000	1782.608250
64.000000	1876.561250
64.500000	1875.561750
64.500000	1778.610250
65.000000	1876.561250
65.000000	1772.613250
65.500000	1874.562250
65.500000	1768.615250
66.000000	1875.561750
66.000000	1922.538250
66.500000	1873.562750
66.500000	1771.613750
66.500000	1919.539750
67.000000	1872.563250
67.000000	1759.619750
67.000000	1765.616750
67.500000	1872.563250
67.500000	1763.617750
67.500000	1917.540750
67.500000	1924.537250
67.500000	1906.546250
68.000000	1871.563750
68.000000	1767.615750
68.000000	1914.542250
68.000000	1923.537750
68.500000	1868.565250
68.500000	1917.540750
68.500000	1908.545250
68.500000	1759.619750
69.000000	1867.565750
69.000000	1921.538750
69.000000	1744.627250
69.000000	1912.543250
69.000000	1768.615250
69.500000	1865.566750
69.500000	1910.544250
69.500000	1746.626250
70.000000	1864.567250
70.000000	1912.543250
70.000000	1748.625250
70.000000	1902.548250
70.500000	1864.567250
70.500000	1913.542750
70.500000	1906.546250
70.500000	1747.625750
71.000000	1862.568250
71.000000	1743.627750
71.000000	1915.541750
71.000000	1906.546250
71.500000	1863.567750
71.500000	1910.544250
71.500000	1743.627750
72.000000	1862.568250
72.000000	1898.550250
72.000000	1909.544750
72.000000	1744.627250
72.500000	1861.568750
72.500000	1906.546250
72.500000	1746.626250
73.000000	1861.568750
73.000000	1909.544750
73.000000	1897.550750
73.000000	1747.625750
73.000000	1739.629750
73.500000	1856.571250
73.500000	1911.543750
73.500000	1898.550250
73.500000	1733.632750
74.000000	1858.570250
74.000000	1898.550250
74.000000	1742.628250
74.000000	1726.636250
74.000000	1734.632250
74.500000	1854.572250
74.500000	1901.548750
74.500000	1891.553750
74.500000	1785.606750
74.500000	1731.633750
75.000000	1853.572750
75.000000	1894.552250
75.000000	1901.548750
75.000000	1729.634750
75.000000	1785.606750
75.500000	1851.573750
75.500000	1897.550750
75.500000	1724.637250
75.500000	1732.633250
75.500000	1784.607250
76.000000	1851.573750
76.000000	1894.552250
76.000000	1875.561750
76.000000	1721.638750
76.000000	1728.635250
76.000000	1712.643250
76.500000	1850.574250
76.500000	1893.552750
76.500000	1884.557250
76.500000	1725.636750
76.500000	1717.640750
77.000000	1851.573750
77.000000	1892.553250
77.000000	1898.550250
77.000000	1721.638750
77.500000	1850.574250
77.500000	1897.550750
77.500000	1723.637750
78.000000	1851.573750
78.000000	1891.553750
78.000000	1723.637750
78.500000	1849.574750
78.500000	1889.554750
78.500000	1900.549250
78.500000	1730.634250
78.500000	1719.639750
78.500000	1779.609750
79.000000	1846.576250
79.000000	1886.556250
79.000000	1897.550750
79.000000	1708.645250
79.000000	1698.650250
79.500000	1844.577250
79.500000	1887.555750
79.500000	1875.561750
79.500000	1707.645750
79.500000	1694.652250
79.500000	1721.638750
80.000000	1841.578750
80.000000	1884.557250
80.000000	1703.647750
80.000000	1715.641750
80.500000	1839.579750
80.500000	1879.559750
80.500000	1891.553750
80.500000	1705.646750
80.500000	1755.621750
80.500000	1693.652750
80.500000	1770.614250
81.000000	1838.580250
81.000000	1884.557250
81.000000	1707.645750
81.000000	1759.619750
81.500000	1839.579750
81.500000	1882.558250
81.500000	1890.554250
81.500000	1862.568250
81.500000	1701.648750
81.500000	1763.617750
82.000000	1840.579250
82.000000	1879.559750
82.000000	1884.557250
82.000000	1870.564250
82.000000	1705.646750
82.000000	1697.650750
82.000000	1759.619750
82.500000	1838.580250
82.500000	1882.558250
82.500000	1893.552750
82.500000	1702.648250
82.500000	1760.619250
83.000000	1840.579250
83.000000	1886.556250
