Theta	E	Eerr
62.726540	1865.826551	0.085899
62.726540	1828.022479	0.565715
62.726540	463.945857	4.185761
62.726540	1332.656568	12.645660
57.160010	1875.092896	0.117976
57.160010	1897.029422	2.575865
57.160010	1065.884881	10.187248
57.160010	1830.266918	1.277830
95.159279	1801.519290	0.232806
95.159279	1845.182745	0.209623
95.159279	1648.083811	0.661564
95.159279	1707.923332	3.001858
56.625718	1876.718424	0.126248
56.625718	1845.038347	0.862932
64.775064	1860.311833	0.083330
64.775064	1796.380179	0.854887
64.775064	1100.943399	10.729227
64.775064	1912.581794	0.447767
142.951317	1752.825572	0.258426
142.951317	1797.017119	0.517796
142.951317	1495.739236	2.637779
142.951317	1470.366471	1.254409
142.951317	1556.511892	1.816365
62.029049	1866.566606	0.107421
62.029049	1810.869562	1.025663
62.029049	1071.520541	13.636403
62.029049	1916.265945	0.833177
63.541445	1864.090591	0.096167
63.541445	1807.393984	0.941940
63.541445	1100.744356	13.728162
63.541445	1917.068494	0.647488
111.912810	1809.638945	0.186190
111.912810	1594.505379	0.579178
111.912810	1685.024924	1.101144
111.912810	1772.040699	1.657644
55.219267	1879.290821	0.086079
55.219267	1843.727766	0.775423
59.974846	1869.467679	0.091946
59.974846	1974.634639	1.416019
59.974846	1346.813555	3.250038
59.974846	1951.116345	3.852426
158.796303	1738.130815	0.145045
158.796303	1460.496657	0.403379
158.796303	1574.424755	0.664446
54.671987	1880.729987	0.109599
54.671987	1847.925874	1.083065
59.263791	1873.424318	0.117939
59.263791	1024.589511	10.427585
59.263791	1841.901879	0.670360
160.145164	1737.199805	0.146464
160.145164	1456.390806	0.405800
160.145164	1570.088907	0.596464
155.509871	1743.166222	0.157261
155.509871	1468.277469	0.390798
155.509871	1579.606392	0.597232
70.219632	1850.046322	0.094514
70.219632	1898.317784	0.295120
70.219632	1772.211939	1.014804
70.219632	1154.089589	11.931615
66.601087	1858.195211	0.080578
66.601087	1138.458685	11.464771
66.601087	1908.962106	0.346299
66.601087	1787.965980	0.893910
157.633606	1740.247654	0.147148
157.633606	1463.742591	0.385572
157.633606	1571.972689	0.914430
147.969326	1751.628074	0.235779
147.969326	1464.387121	3.437441
147.969326	1497.838792	3.430918
147.969326	1588.086561	1.172990
96.288677	1839.270631	0.167113
96.288677	1791.756435	0.214451
96.288677	1635.571384	0.678599
96.288677	1697.236415	3.629755
101.565883	1829.385911	0.167119
101.565883	1781.698479	0.273688
101.565883	1619.818659	0.662429
101.565883	1687.089285	2.296378
98.762222	1838.776755	0.162373
98.762222	1792.427737	0.224600
98.762222	1634.040124	0.649451
98.762222	1692.308224	3.048239
94.484944	1849.162649	0.207468
94.484944	1805.171008	0.206116
94.484944	1651.532745	0.663957
94.484944	1699.878800	2.199324
74.206857	1842.359457	0.111009
74.206857	1889.312064	0.272864
74.206857	1757.404276	1.144893
74.206857	1105.326033	12.606359
61.429385	1867.435057	0.117468
61.429385	1835.693995	0.715932
61.429385	1043.911367	6.813727
61.429385	1043.806432	6.822497
115.790289	1801.883066	0.186246
115.790289	1581.880410	0.473635
115.790289	1675.418716	5.734207
114.272425	1807.117584	0.192990
114.272425	1588.764149	0.494899
114.272425	1679.191243	1.127879
114.272425	1774.731999	1.590760
71.287429	1848.836868	0.093128
71.287429	1896.087442	0.279707
71.287429	1116.272413	10.319951
71.287429	1768.197157	0.979181
78.278651	1837.373439	0.109151
78.278651	1881.533617	0.255208
78.278651	991.354724	15.901319
78.278651	1750.053457	1.204590
95.675406	1838.743273	0.501341
95.675406	1790.885577	0.582700
95.675406	1594.054645	6.112366
95.675406	1729.835267	6.787752
95.675406	1592.113114	6.008703
86.128729	1815.892633	0.139649
86.128729	1860.035815	0.192666
86.128729	1669.711852	0.535258
86.128729	1718.764510	1.463638
108.220066	1818.355687	0.185786
108.220066	1771.501895	0.611736
108.220066	1603.163164	0.733635
108.220066	1694.338209	1.871966
69.394826	1851.786068	0.100691
69.394826	1900.652918	0.335710
69.394826	1186.936479	16.781501
69.394826	1774.732765	1.070263
71.886801	1847.842824	0.117194
71.886801	1894.578904	0.342661
71.886801	1231.031764	31.882296
71.886801	1768.730812	1.503776
123.966187	1785.951797	0.216480
123.966187	1553.605231	0.556885
123.966187	1649.244691	1.354006
118.593774	1798.854943	0.161383
118.593774	1575.003663	0.439616
118.593774	1668.035939	0.847271
55.958155	1877.375363	0.143848
55.958155	1793.756219	1.598674
55.958155	1846.776580	1.054706
103.870998	1827.761354	0.172519
103.870998	1781.532585	0.301666
103.870998	1617.058008	0.633100
103.870998	1683.227910	2.336291
113.404785	1807.918365	0.204485
113.404785	1590.639617	0.501991
113.404785	1772.342215	1.974409
113.404785	1677.351675	1.091715
114.985966	1804.263651	0.245982
114.985966	15357.096101	3669.330532
114.985966	1587.607035	0.664152
84.619592	1822.785638	0.179558
84.619592	1866.915117	0.264894
84.619592	1685.255065	1.442002
84.619592	1751.991477	1.480272
58.169315	1874.903098	0.093663
58.169315	1813.095409	1.414212
58.169315	1839.465999	0.462388
54.049210	1881.367691	0.108342
54.049210	1846.115832	1.069318
65.662599	1858.913775	0.090643
65.662599	1157.270469	14.662522
65.662599	1791.057383	0.992355
65.662599	1910.892294	0.427361
68.512730	1854.653785	0.092277
68.512730	1156.093467	13.392315
68.512730	1905.891602	0.337045
68.512730	1779.894657	0.938839
117.980678	1799.756696	0.195141
117.980678	1577.517400	0.533494
117.980678	1667.624654	1.324928
146.228261	1754.337001	0.208948
146.228261	1514.643099	4.346060
146.228261	1479.880601	3.822613
146.228261	1594.605645	0.798658
90.691114	1804.047454	0.168501
90.691114	1850.140853	0.171634
90.691114	1651.647168	0.667195
90.691114	1704.762867	2.003915
111.296511	1811.827832	0.286798
111.296511	1594.236757	0.615403
111.296511	1775.359551	1.365374
111.296511	1671.145965	4.711036
126.221848	1782.444195	0.251817
126.221848	1546.408155	0.698042
126.221848	1641.404322	1.974167
100.821987	1832.717718	0.225611
100.821987	1788.857646	0.339640
100.821987	1625.992631	0.709018
100.821987	1695.376412	3.315286
67.635067	1857.203656	0.087348
67.635067	1907.764135	0.339168
67.635067	1166.460621	14.219289
67.635067	1786.770403	0.993882
52.847122	1881.592770	0.093556
52.847122	1852.911630	0.867993
92.562575	1804.257625	0.173335
92.562575	1849.892710	0.173370
92.562575	1651.124789	0.579838
92.562575	1701.456037	1.626901
145.440811	1756.842257	0.250903
145.440811	1490.591138	0.656202
145.440811	1495.792022	0.472875
145.440811	1596.283365	0.966258
88.739013	1816.321365	0.152386
88.739013	1859.645285	0.197425
88.739013	1670.788113	0.472086
88.739013	1718.720625	1.490422
107.587943	1818.747175	0.227221
107.587943	1771.490952	0.580703
107.587943	1605.047045	0.734289
107.587943	1676.780118	3.058170
120.790552	1793.574258	0.173192
120.790552	1564.382510	0.448078
120.790552	1659.701279	0.810741
112.462145	1809.062007	0.255806
112.462145	1592.737053	0.700018
112.462145	1683.061337	1.346486
112.462145	1775.212074	2.953225
64.057320	1861.728702	0.166640
64.057320	1830.999769	1.184328
64.057320	1041.720159	20.883125
64.057320	1037.828088	19.286737
86.775081	1815.818454	0.185646
86.775081	1860.035800	0.241411
86.775081	1671.707047	0.669801
86.775081	1734.471080	1.304094
119.347603	1797.189972	0.195073
119.347603	1572.235760	0.489968
119.347603	1661.969934	1.044546
104.714001	1827.046860	0.212488
104.714001	1781.582493	0.467385
104.714001	1648.869474	2.009429
75.220833	1840.194011	0.114787
75.220833	1885.679304	0.270651
75.220833	1753.389582	1.100308
75.220833	1054.229579	12.700836
102.363969	1829.124491	0.262757
102.363969	1783.849508	0.723533
102.363969	1620.793963	1.456623
102.363969	1699.958782	2.905854
102.363969	1778.002041	1.757282
53.369353	1881.641309	0.190494
53.369353	1854.423383	1.512905
100.007113	1836.119917	0.186977
100.007113	1791.447612	0.266630
100.007113	1630.555573	0.602379
100.007113	930.006895	1.414212
100.007113	1701.504090	1.297955
152.728359	1747.112370	0.161943
152.728359	1475.245146	0.418364
152.728359	1584.709974	0.746250
81.264475	1827.228102	0.126447
81.264475	1871.234739	0.206819
81.264475	1689.872893	0.495694
81.264475	1744.557336	1.879949
97.306751	1838.981384	0.156884
97.306751	1791.855003	0.211250
97.306751	1635.755918	0.751972
97.306751	1696.288866	3.270360
120.263625	1795.696522	0.257109
120.263625	1564.964588	0.685458
120.263625	4643.035456	5913.102057
60.819527	1867.461828	0.138162
60.819527	1938.277508	8.208181
60.819527	1228.362289	103.624426
60.819527	1969.254430	2.796354
91.838845	1849.905709	0.197402
91.838845	1803.974248	0.206330
91.838845	1651.667710	0.670281
91.838845	1699.886908	1.870360
106.531982	1819.670203	0.201716
106.531982	1776.405754	0.519404
106.531982	1603.849737	0.607511
106.531982	1674.321896	2.232421
122.074361	1791.751341	0.186759
122.074361	1561.445845	0.429362
122.074361	1658.351661	0.943063
