Theta	E
86.154592	2776.574167
86.154592	2543.651833
86.154592	2775.010039
86.154592	2244.685398
62.312809	2855.547833
62.312809	2811.562500
62.312809	2669.609833
62.312809	579.306833
62.312809	2728.590167
62.312809	543.318833
62.312809	2614.628167
62.312809	2858.912544
62.312809	2814.432296
62.312809	2540.714701
62.312809	562.222892
62.312809	2714.469631
62.312809	1044.652317
62.312809	2202.997414
65.326873	2843.551833
65.326873	2800.566167
65.326873	2648.616833
65.326873	2721.592500
65.326873	456.347833
65.326873	506.331167
65.326873	377.374167
87.527532	2776.574167
87.527532	2539.653167
87.527532	1974.841500
87.527532	2774.840708
87.527532	2554.429765
87.527532	2042.492557
76.196155	2810.562833
76.196155	2574.641500
76.196155	1996.834167
76.196155	2806.525088
76.196155	2642.883627
76.196155	2066.450566
66.357350	2843.551833
66.357350	2798.566833
66.357350	457.347500
66.357350	2701.599167
66.357350	2639.619833
66.357350	2729.589833
66.357350	406.364500
164.316359	2591.635833
164.316359	2167.777167
164.316359	2590.397700
164.316359	2169.174374
60.265168	2816.560833
60.265168	2867.543833
60.265168	2682.605500
60.265168	2741.585833
60.265168	608.297167
60.265168	653.282167
60.265168	2820.176446
60.265168	2868.317005
60.265168	2317.466388
60.265168	2728.134623
60.265168	614.209981
60.265168	930.985481
74.443048	2816.560833
74.443048	2809.778688
71.222120	2826.557500
71.222120	2613.628500
71.222120	2680.606167
71.222120	2795.068606
71.222120	2302.690307
71.222120	2827.732538
90.169472	2764.578167
90.169472	2511.662500
90.169472	2764.195425
90.169472	2266.257666
59.097785	2820.559500
59.097785	2870.542833
59.097785	2690.602833
59.097785	2762.578833
59.097785	662.279167
59.097785	2737.587167
59.097785	708.263833
80.775915	2794.568167
80.775915	2791.431978
120.753047	2673.608500
120.753047	2334.721500
120.753047	2673.583340
120.753047	2334.102784
91.005163	2760.579500
91.005163	2490.669500
91.005163	2759.257114
91.005163	2497.671001
152.621559	2603.631833
152.621559	2198.766833
152.621559	2371.709167
152.621559	2601.787337
152.621559	2196.906729
152.621559	2370.497400
57.298862	2822.558833
57.298862	2874.541500
57.298862	2697.600500
57.298862	2753.581833
57.298862	668.277167
57.298862	706.264500
69.132896	2835.554500
69.132896	2788.570167
69.132896	2626.624167
69.132896	2700.599500
69.132896	2832.472318
69.132896	2864.897282
69.132896	2172.968325
69.132896	2683.714283
153.139936	2602.632167
153.139936	2195.767833
153.139936	2368.710167
153.139936	2600.558227
153.139936	2193.892793
153.139936	2367.399043
114.651357	2692.602167
114.651357	2368.710167
114.651357	2508.663500
114.651357	2691.887641
114.651357	2367.521672
114.651357	2489.378151
58.043053	2821.559167
58.043053	2873.541833
58.043053	2690.602833
58.043053	724.258500
58.043053	2749.583167
58.043053	650.283167
116.029446	2686.604167
116.029446	2358.713500
116.029446	2685.967576
116.029446	2356.630371
77.200528	2809.563167
77.200528	2760.579500
77.200528	2607.630500
77.200528	2809.799829
77.200528	2779.870702
77.200528	2260.259734
118.410569	2683.605167
118.410569	2352.715500
118.410569	2682.110712
118.410569	2351.416564
59.725578	2818.560167
59.725578	2866.544167
59.725578	2189.769833
59.725578	600.299833
59.725578	2683.605167
59.725578	2758.580167
59.725578	701.266167
97.496409	2744.584833
97.496409	2476.674167
97.496409	2446.684167
97.496409	2743.057822
97.496409	2270.195558
97.496409	2279.762737
88.166989	2776.574167
88.166989	2505.664500
88.166989	2523.658500
88.166989	1959.846500
94.254674	2759.579833
94.254674	2483.671833
94.254674	2758.657119
94.254674	2258.149529
99.014172	2743.585167
99.014172	2450.682833
99.014172	2741.604335
99.014172	2462.912633
70.628954	2828.556833
70.628954	2786.570833
70.628954	2630.622833
70.628954	2700.599500
70.628954	2039.819833
70.628954	2829.827547
70.628954	2795.758499
70.628954	2619.336245
70.628954	2687.565145
70.628954	2141.630252
83.964317	2792.568833
83.964317	2567.643833
83.964317	2541.652500
83.964317	2792.341777
83.964317	2243.561937
83.964317	2765.141665
84.508740	2784.571500
84.508740	1973.841833
84.508740	2002.832167
83.218240	2793.568500
83.218240	1905.864500
83.218240	2789.887351
83.218240	3270.341060
146.396253	2604.631500
146.396253	2207.763833
146.396253	2375.707833
146.396253	2603.344065
146.396253	2203.152991
146.396253	2372.644004
82.369393	2793.568500
82.369393	2575.641167
82.369393	2790.758754
82.369393	2284.171260
103.222319	2727.590500
103.222319	2415.694500
103.222319	2436.687500
103.222319	2726.856493
103.222319	2281.050459
103.222319	2281.350830
147.214734	2600.632833
147.214734	2198.766833
147.214734	2368.710167
147.214734	2598.375017
147.214734	2196.912812
147.214734	2367.291969
154.565474	2600.632833
154.565474	2191.769167
154.565474	2365.711167
154.565474	2599.303756
154.565474	2190.984795
154.565474	2364.222250
55.371138	2828.556833
55.371138	2758.580167
55.371138	2709.596500
55.371138	2876.540833
55.371138	783.238833
55.371138	823.225500
55.371138	2828.966298
55.371138	2829.276447
55.371138	2466.833496
55.371138	2928.775175
55.371138	545.679098
55.371138	790.568724
102.507934	2727.590500
102.507934	2439.686500
102.507934	2568.643500
102.507934	2727.130158
102.507934	2429.735660
102.507934	2548.275650
155.721173	2599.633167
155.721173	2186.770833
155.721173	2362.712167
155.721173	2597.999856
155.721173	2187.106198
155.721173	2362.293346
75.570810	2812.562167
75.570810	1976.840833
75.570810	2594.634833
91.994488	2760.579500
91.994488	2509.663167
91.994488	2759.327663
91.994488	2261.668186
73.865834	2823.558500
73.865834	2773.575167
73.865834	2597.633833
73.865834	2678.606833
73.865834	2635.621167
158.608869	2594.634833
158.608869	2178.773500
158.608869	2356.714167
158.608869	2594.012507
158.608869	2179.516772
158.608869	2356.156373
56.266242	2825.557833
56.266242	2876.540833
56.266242	2753.581833
56.266242	2702.598833
56.266242	795.234833
56.266242	761.246167
56.266242	699.266833
89.481970	2776.574167
89.481970	2509.663167
89.481970	2774.989885
89.481970	3390.163425
81.327007	2793.568500
81.327007	2540.652833
81.327007	2791.032715
81.327007	3428.772622
95.547400	2746.584167
95.547400	2475.674500
95.547400	2746.654965
95.547400	2284.920736
161.311013	2594.634833
161.311013	2173.775167
161.311013	2593.111661
161.311013	2174.715513
162.480871	2592.635500
162.480871	2170.776167
162.480871	2591.735643
162.480871	2172.135502
143.477770	2609.629833
143.477770	2217.760500
143.477770	2389.703167
143.477770	2609.501694
143.477770	2214.545817
143.477770	2382.169547
145.349524	2606.630833
145.349524	2211.762500
145.349524	2379.706500
145.349524	2605.398064
145.349524	2206.905866
145.349524	2377.034115
160.025802	2594.634833
160.025802	2176.774167
160.025802	2353.715167
160.025802	2593.873019
160.025802	2177.524478
160.025802	2355.162897
113.613116	2695.601167
113.613116	2375.707833
113.613116	2512.662167
