Counts	Solid angle	New Solid	Energy	DeltaClock	DeltaCharge	Angle
6095.562115	0.100722	0.001489	2001.000000	701120.000000	19753.000000	100
5006.748094	0.088132	0.001309	2001.000000	701120.000000	19753.000000	105
4685.272128	0.100722	0.001486	2001.000000	701120.000000	19753.000000	110
3337.322413	0.088132	0.001364	2001.000000	701120.000000	19753.000000	115
1680.430351	0.050361	0.000745	2001.000000	701120.000000	19753.000000	120
1503.182673	0.050361	0.000876	2001.000000	701120.000000	19753.000000	125
0.000000	0.000000	0.000000	2001.000000	701120.000000	19753.000000	140
7010.758589	0.201444	0.004348	2001.000000	701120.000000	19753.000000	145
0.000000	0.000000	0.000000	2001.000000	701120.000000	19753.000000	150
0.000000	0.000000	0.000000	2001.000000	701120.000000	19753.000000	155
5218.067716	0.107661	0.001493	2500.000000	239529.000000	23526.000000	100
4506.389325	0.096324	0.001300	2500.000000	239529.000000	23526.000000	105
4472.087762	0.110084	0.001481	2500.000000	239529.000000	23526.000000	110
3761.474929	0.096324	0.001361	2500.000000	239529.000000	23526.000000	115
2275.264343	0.068803	0.000992	2500.000000	239529.000000	23526.000000	120
1869.183831	0.061922	0.000970	2500.000000	239529.000000	23526.000000	125
0.000000	0.000000	0.000000	2500.000000	239529.000000	23526.000000	140
7647.089463	0.217745	0.004363	2500.000000	239529.000000	23526.000000	145
0.000000	0.000000	0.000000	2500.000000	239529.000000	23526.000000	150
1011.498877	0.041282	0.002566	2500.000000	239529.000000	23526.000000	155
3082.146642	0.078607	0.001151	3000.000000	186257.000000	16236.000000	100
2927.072304	0.084490	0.001181	3000.000000	186257.000000	16236.000000	105
1696.109507	0.056326	0.000837	3000.000000	186257.000000	16236.000000	110
1345.482924	0.049286	0.000722	3000.000000	186257.000000	16236.000000	115
280.605790	0.014082	0.000198	3000.000000	186257.000000	16236.000000	120
270.670908	0.014082	0.000228	3000.000000	186257.000000	16236.000000	125
0.000000	0.000000	0.000000	3000.000000	186257.000000	16236.000000	140
6696.908579	0.219424	0.004356	3000.000000	186257.000000	16236.000000	145
0.000000	0.000000	0.000000	3000.000000	186257.000000	16236.000000	150
161.740610	0.007041	0.000409	3000.000000	186257.000000	16236.000000	155
